ID,StateID,EnumerationID,HouseID,CassavaPlotInformationID,Fieldcode,Plotcode,adoption
330,12,12311,123112,1,1,1,0
331,12,12311,123112,2,1,2,0
332,12,12311,123112,3,1,3,0
333,12,12311,123113,1,1,1,1
334,12,12311,123114,1,1,1,1
335,12,12311,123114,2,1,2,1
336,12,12311,123114,3,1,3,1
337,12,12311,123114,4,1,4,1
338,12,12311,123115,1,1,1,1
339,12,12311,123115,2,2,1,1
340,12,12311,123115,3,3,1,1
341,12,12321,123211,1,1,1,1
342,12,12321,123212,1,1,1,1
343,12,12321,123213,1,1,1,1
344,12,12321,123214,1,1,1,1
345,12,12321,123215,1,1,1,1
346,12,12411,124111,1,1,1,1
347,12,12411,124111,2,2,1,1
348,12,12411,124112,1,1,1,0
349,12,12411,124112,2,1,2,0
350,12,12411,124113,1,1,1,0
351,12,12411,124114,1,1,1,0
352,12,12411,124114,2,1,2,0
353,12,12411,124114,3,1,3,0
354,12,12411,124115,1,1,1,0
355,12,12411,124115,2,2,1,1
356,12,12411,124115,3,3,1,0
357,12,12411,124115,4,4,1,1
358,12,12411,124115,5,5,1,0
359,12,12411,124115,6,6,1,0
360,12,12421,124211,1,1,1,1
361,12,12421,124211,2,1,1,1
362,12,12421,124211,2,2,1,1
363,12,12421,124212,1,1,1,1
364,12,12421,124213,1,1,1,0
365,12,12421,124213,2,1,2,0
366,12,12421,124214,1,1,1,1
367,12,12421,124215,1,1,1,0
368,12,12431,124311,1,1,1,0
369,12,12431,124312,1,1,1,0
370,12,12431,124312,2,1,2,1
371,12,12431,124312,3,2,1,0
372,12,12431,124312,4,3,1,0
373,12,12431,124312,5,4,1,0
374,12,12431,124312,6,5,1,1
375,12,12431,124313,1,1,1,1
376,12,12431,124313,2,1,2,1
377,12,12431,124314,1,1,1,0
378,12,12431,124314,2,1,2,0
379,12,12431,124315,1,1,1,1
380,12,12431,124315,2,2,1,1
381,12,12431,124315,3,3,1,1
382,12,12441,124411,1,1,1,0
383,12,12441,124412,1,1,1,1
384,12,12441,124413,1,1,1,1
385,12,12441,124414,1,1,1,1
386,12,12441,124414,2,1,2,0
387,12,12441,124414,3,1,3,0
388,12,12441,124415,1,1,1,1
389,12,12441,124415,2,2,1,1
390,12,12451,124511,1,1,1,1
391,12,12451,124511,2,2,1,1
392,12,12451,124512,1,1,1,0
393,12,12451,124512,2,2,1,0
394,12,12451,124512,3,3,1,0
395,12,12451,124513,1,1,1,0
396,12,12451,124513,2,2,1,0
397,12,12451,124513,3,3,1,0
398,12,12451,124513,4,4,1,0
399,12,12451,124514,1,1,1,0
400,12,12451,124514,2,2,1,0
401,12,12451,124514,3,3,1,0
402,12,12451,124514,4,4,1,0
403,12,12451,124515,1,1,1,0
404,12,12451,124515,2,2,1,0
405,12,12451,124515,3,3,1,0
406,12,12521,125211,1,1,1,1
407,12,12521,125211,2,2,1,1
408,12,12521,125212,1,1,1,1
409,12,12521,125212,2,2,1,1
410,12,12521,125213,1,1,1,1
411,12,12521,125213,2,1,2,1
412,12,12521,125213,3,2,1,1
413,12,12521,125213,4,3,1,1
414,12,12521,125213,5,4,1,1
415,12,12521,125214,1,1,1,1
416,12,12521,125214,2,1,2,1
417,12,12521,125215,1,1,1,1
418,12,12521,125215,2,2,1,1
419,12,12611,126111,1,1,1,1
420,12,12611,126111,2,1,2,1
421,12,12611,126111,3,1,3,1
422,12,12611,126111,4,2,1,1
423,12,12611,126111,5,3,1,1
424,12,12611,126111,6,4,1,1
425,12,12611,126112,1,1,1,1
426,12,12611,126113,1,1,1,1
427,12,12611,126113,2,1,2,1
428,12,12611,126113,3,1,3,1
429,12,12611,126113,4,2,1,1
430,12,12611,126113,5,3,1,1
431,12,12611,126113,6,4,1,1
432,12,12611,126114,1,1,1,1
433,12,12611,126114,2,1,2,1
434,12,12611,126114,3,1,3,1
435,12,12611,126114,4,1,4,1
436,12,12611,126114,5,1,5,1
437,12,12611,126115,1,1,1,1
438,12,12611,126115,2,2,1,1
439,12,12621,126211,1,1,1,0
440,12,12621,126211,2,1,2,0
441,12,12621,126211,3,2,1,0
442,12,12621,126212,1,1,1,1
443,12,12621,126212,2,1,2,1
444,12,12621,126212,3,2,1,1
445,12,12621,126213,1,1,1,1
446,12,12621,126213,2,1,2,1
447,12,12621,126213,3,2,1,1
448,12,12621,126213,4,3,1,1
449,12,12621,126214,1,1,1,1
450,12,12621,126214,2,2,1,1
451,12,12621,126214,3,3,1,1
452,12,12621,126215,1,1,1,1
453,12,12621,126215,2,1,2,0
454,12,12621,126215,3,2,1,1
455,12,12631,126311,1,1,1,1
456,12,12631,126311,2,1,2,1
457,12,12631,126311,3,1,3,1
458,12,12631,126311,4,2,1,1
459,12,12631,126311,5,3,1,1
460,12,12631,126311,6,3,2,1
461,12,12631,126311,7,3,3,1
462,12,12631,126312,1,1,1,1
463,12,12631,126312,2,2,1,0
464,12,12631,126312,2,2,11,1
465,12,12631,126312,3,3,1,1
466,12,12631,126313,1,1,1,1
467,12,12631,126313,2,2,1,1
468,12,12631,126314,1,1,1,1
469,12,12631,126314,2,1,2,1
470,12,12631,126315,1,1,1,0
471,12,12631,126315,2,2,1,1
472,12,12631,126315,3,2,2,1
473,12,12711,127111,1,1,1,1
474,12,12711,127111,2,2,1,1
475,12,12711,127112,1,1,1,1
476,12,12711,127112,2,2,1,0
477,12,12711,127113,1,1,1,1
478,12,12711,127113,2,2,1,1
479,12,12711,127114,1,1,1,1
480,12,12711,127114,2,1,2,1
481,12,12711,127114,3,1,3,1
482,12,12711,127115,1,1,1,1
483,12,12711,127115,2,2,1,1
484,12,12711,127115,3,3,1,1
485,12,12721,127211,1,1,1,1
486,12,12721,127211,2,1,2,1
487,12,12721,127211,3,2,1,1
488,12,12721,127212,1,1,1,1
489,12,12721,127212,2,1,2,1
490,12,12721,127212,3,1,3,0
491,12,12721,127212,4,1,4,0
492,12,12721,127212,5,1,5,0
493,12,12721,127213,1,1,1,1
494,12,12721,127213,2,1,2,1
495,12,12721,127213,3,2,1,1
496,12,12721,127214,1,1,1,1
497,12,12721,127214,2,1,2,1
498,12,12721,127214,3,2,1,1
499,12,12721,127214,4,3,1,1
500,12,12721,127214,5,4,1,1
501,12,12721,127215,1,1,1,1
502,12,12721,127215,2,2,1,1
503,12,12811,128111,1,1,1,1
504,12,12811,128111,2,2,1,1
505,12,12811,128111,3,3,1,0
506,12,12811,128111,4,4,1,0
507,12,12811,128111,5,5,1,0
508,12,12811,128112,1,1,1,0
509,12,12811,128112,2,1,2,0
510,12,12811,128113,1,1,1,0
511,12,12811,128113,2,2,1,0
512,12,12811,128114,1,1,1,0
513,12,12811,128114,2,1,2,0
514,12,12811,128114,3,2,1,0
515,12,12811,128114,4,2,2,1
516,12,12811,128115,1,1,1,1
517,12,12811,128115,2,2,1,1
518,12,12811,128115,2,2,2,1
519,12,12811,128115,3,3,1,1
520,12,12811,128115,4,4,1,1
521,12,12821,128211,1,1,1,1
522,12,12821,128211,2,1,2,1
523,12,12821,128211,3,1,3,1
524,12,12821,128212,1,1,1,1
525,12,12821,128212,2,1,1,1
526,12,12821,128212,2,2,1,1
527,12,12821,128213,1,1,1,0
528,12,12821,128213,2,1,2,0
529,12,12821,128214,1,1,1,0
530,12,12821,128214,2,1,2,1
531,12,12821,128214,3,1,3,1
532,12,12821,128214,4,1,4,1
533,12,12821,128214,5,1,5,1
534,12,12821,128215,1,1,1,0
535,12,12821,128215,2,2,1,0
536,12,12911,129111,1,1,1,0
537,12,12911,129111,2,1,2,1
538,12,12911,129112,1,1,1,1
539,12,12911,129112,2,2,1,1
540,12,12911,129112,3,2,2,1
541,12,12911,129113,1,1,1,1
542,12,12911,129113,2,1,2,1
543,12,12911,129114,1,1,1,1
544,12,12911,129115,1,1,1,1
545,12,12911,129115,2,2,1,1
546,12,12921,129211,1,1,1,1
547,12,12921,129211,2,2,1,0
548,12,12921,129211,3,3,1,0
549,12,12921,129212,1,1,1,0
550,12,12921,129212,2,1,2,0
551,12,12921,129212,3,2,1,0
552,12,12921,129212,4,3,1,0
553,12,12921,129213,1,1,1,1
554,12,12921,129213,2,2,1,1
555,12,12921,129214,1,1,1,1
556,12,12921,129214,2,1,2,0
557,12,12921,129214,3,1,3,0
558,12,12921,129214,4,1,4,0
559,12,12921,129214,5,2,1,1
560,12,12921,129214,6,2,2,0
561,12,12921,129214,7,3,1,0
562,12,12921,129215,1,1,1,1
563,12,12921,129215,2,2,1,1
564,12,121011,1210111,1,1,1,1
565,12,121011,1210111,2,1,2,1
566,12,121011,1210111,3,1,1,1
567,12,121011,1210111,3,1,3,1
568,12,121011,1210112,1,1,1,0
569,12,121011,1210112,2,1,2,1
570,12,121011,1210112,3,1,3,1
571,12,121011,1210113,1,1,1,0
